review,sentiment,negative,positive,neutral
싸고 친절해서 좋아요,positive,0.0030623348,99.99546,0.0014733472
구경할것도 많고 먹을것도 많은 남대문시장 세상의 모든물건을 보는듯한 작은세상이예요,positive,0.00017519014,99.999374,0.0004512751
자주가는 남대문,neutral,0.054616332,0.15679966,99.78858
조화 인형 그릇 필요하면 한번쯤 가보는것추천,positive,0.01117333,99.938156,0.050668374
이것저것 볼거리가 많은곳,positive,0.00016618041,99.99943,0.00040677664
별로,negative,99.97833,0.011260997,0.010403582
첫방문최고 짱,positive,0.038235493,99.956764,0.005001705
정감넘치는 시장이에요 뭔가 진짜 옛날 시장 느낌이라 걸으면서 마음이 편안해져요 호떡 냄새가 장난아니더라구요,positive,33.331676,66.66686,0.0014589482
아련한 추억,neutral,0.056363147,0.34550443,99.59813
여전히 흥정만 잘하면 싸게 살수 있다그러나 점점 흥정이 쉽지 않다,positive,49.99981,49.999817,0.00037585545
쇼핑과 사람 구경하기 좋은 곳,positive,0.00012839501,99.99955,0.00032174744
위스키 사러 가끔 갔었는데 가격이 너무 올라서 더이상 남대문 매리트가 없네요 너무 아쉽습니다,negative,99.993416,0.002893561,0.0036911282
좀위생적은 아닌구경삼아 가는 곳,negative,99.998726,0.00026163668,0.0010145772
그릇시장은 가지마세요 처넌 짜리 그릇 원에 파네요 잘모르면 바가지 씌웁니다 동동 가지마세요,negative,94.66095,0.008126435,5.3309255
가격이든 정보든 응대든 날 것을 느끼고 싶으면 시장에서 물건사보면 될 것 같습니다 정말 조금만 노력해도 사람들이 수두룩 모일텐데 배짱 장사하는거 보면 아직 멀었습니다층에 위치한 공개된 장소는 좀 덜한데 지하와 층 이상의 장소는 어지간한 사람들은 제대로 진입이 힘들 정도로 폐쇄되어 있습니다이제는 아무리 좋은 물건 팔아도 고객이 물건 정보를 모르는 상태에서 비교해보려는 것에 배짱 장사하면 안사줍니다더보기,negative,89.99736,0.0048851664,9.997758
코로나로 주춤하긴하지만 여전히 활기넘치는 장소,positive,0.013752679,99.96219,0.024060713
지하 주류상가 그닥 싸지도 않고 발품에 비해 비효율,negative,99.99947,0.00024728593,0.00028252925
찾는 이유가 있었어,neutral,0.16698158,5.621433,94.211586
남대문시장이져모,neutral,0.4072899,0.0633364,99.52937
없어,neutral,0.93828684,0.107803255,98.95391
사람들이친절하고옷이쌉니다,negative,99.918846,0.037643775,0.04351346
시장보기가편하다,positive,0.050485633,99.940865,0.008650246
일하는 사람들도 마스크 쓰고 손님맞이하세요아줌마 아저씨들 목소리는 엄청 크게 말하면서도 마스크 사용자들이 거의 없네요,neutral,0.28599814,0.3878739,99.326126
언제나 활기넘치는 곳,positive,0.0008519878,99.99797,0.0011738888
군복거리 중간쯤에 년도 군화 만천에 안산다고 뭐라 해서 기분잡치고 나옴 갈곳이못됨 친절한 사람도 있고 인성 쓰레기같은 상인도 있고 뭐 그런곳임,negative,100.0,0.0,0.0
서울 최대의 전통시장 칼국수골목 갈치조림 야채호떡,neutral,0.032228857,0.0741875,99.893585
남문교자 앞 강아지 옷 파는 아줌마 옷 만지면 사야됨정색하고 뭐라함 번출구 앞 과일 스틱 가게 단이네보기만 하고 갔는데 화내심 더이상 정떨어져서 남대문 시장 못가겟음,negative,99.99327,0.0013486599,0.0053791036
야채호떡,neutral,0.043821443,0.02551208,99.930664
